Age,Annual_Income,Credit_Score,Loan_Amount,Loan_Term_Months,Employment_Years,Existing_Loans,Dependents,Savings,Property_Value,Self_Employed,Education,Marital_Status,Loan_Status
41,122870,479,263248,60,17,3,5,150934,816183,Yes,High School,Married,Rejected
42,92131,531,169650,84,20,1,0,176779,282192,Yes,Graduate,Married,Rejected
48,114138,775,96514,48,18,4,2,27485,484190,No,Graduate,Married,Approved
29,58377,544,380296,48,21,0,5,278148,430727,No,Graduate,Single,Rejected
46,72365,512,8794,60,28,3,3,156261,240499,No,Graduate,Single,Rejected
29,123412,758,129168,72,24,1,3,271530,846592,No,High School,Single,Approved
35,54551,427,206915,72,14,2,3,90368,271451,No,High School,Single,Rejected
30,62926,516,390921,48,11,1,3,178761,5290,No,Graduate,Single,Rejected
44,110214,319,294124,48,18,5,5,218532,265076,No,High School,Single,Rejected
62,107750,359,69752,12,24,4,4,147526,196976,No,Postgraduate,Married,Rejected
28,58599,428,471873,36,4,2,2,212051,826457,No,Graduate,Married,Rejected
44,118345,496,243784,12,28,5,3,288216,533056,No,Graduate,Married,Rejected
36,129490,791,272373,60,17,2,4,131107,990843,Yes,Postgraduate,Single,Approved
46,113330,803,401171,60,25,3,5,92100,39994,No,High School,Single,Rejected
47,42593,546,99134,36,11,4,3,217916,131548,Yes,High School,Married,Rejected
57,80334,559,447329,12,25,4,5,54544,332072,Yes,High School,Married,Rejected
24,114400,646,270097,12,25,2,0,265443,889816,Yes,High School,Single,Rejected
44,129865,496,240118,12,14,0,5,100423,536288,No,High School,Married,Rejected
39,135749,406,206792,24,9,0,4,57729,865673,No,High School,Married,Rejected
56,79893,459,153544,84,27,3,0,34784,884194,No,Postgraduate,Single,Rejected
59,62636,721,496836,72,24,3,3,281760,252324,No,Graduate,Single,Rejected
30,89225,506,279154,24,29,3,2,291393,646032,No,Postgraduate,Single,Rejected
45,60363,612,142310,12,18,3,4,94335,897907,No,Postgraduate,Single,Rejected
38,75959,731,148818,24,8,2,0,292829,735245,No,High School,Married,Rejected
39,100223,534,313932,12,5,3,5,148358,171091,Yes,Graduate,Married,Rejected
56,105917,626,455338,60,13,5,0,12275,276355,No,Graduate,Married,Rejected
30,118629,778,464146,12,0,0,2,243052,8209,No,Graduate,Single,Rejected
53,109125,727,276909,24,0,1,4,111262,940268,No,High School,Single,Rejected
25,21120,399,393977,36,28,5,1,193497,923046,No,Postgraduate,Married,Rejected
55,36491,537,415662,60,30,5,0,164947,215043,No,Graduate,Married,Rejected
64,63638,406,130076,48,10,0,4,50586,793817,No,Postgraduate,Single,Rejected
54,59062,663,482559,36,2,3,1,239539,805516,Yes,Graduate,Married,Rejected
53,25193,792,299563,36,20,2,4,151427,51253,No,High School,Married,Rejected
41,109144,342,261365,72,21,4,3,165224,363224,No,Graduate,Married,Rejected
37,35213,372,35427,48,4,1,0,124105,99604,No,High School,Single,Rejected
42,143214,603,320847,60,7,1,1,25148,551308,Yes,Postgraduate,Married,Rejected
57,133915,304,205979,72,21,5,2,289048,300884,No,Postgraduate,Single,Rejected
35,99766,648,190898,84,17,3,2,26545,600398,No,Graduate,Single,Rejected
55,103959,699,467333,84,4,3,3,12701,439070,No,Graduate,Married,Rejected
48,37187,732,411765,84,11,1,3,2186,453124,No,High School,Single,Rejected
27,30040,406,273692,48,22,5,5,250074,604500,No,Postgraduate,Married,Rejected
52,86302,416,468010,60,28,2,1,127410,859476,Yes,Graduate,Single,Rejected
31,49949,682,168135,60,17,1,0,184754,739592,No,Graduate,Single,Rejected
30,132000,381,113138,72,20,5,0,264910,67579,No,High School,Married,Rejected
29,23527,709,190119,84,11,2,5,218579,836652,No,Postgraduate,Single,Rejected
34,136994,369,339627,60,20,0,2,48988,900552,No,Graduate,Single,Rejected
33,96557,686,389616,36,7,3,3,256301,502270,No,Postgraduate,Married,Rejected
45,103408,823,438220,60,29,5,5,164733,931208,Yes,Graduate,Married,Rejected
22,122433,596,305140,72,8,2,2,38379,931976,No,Graduate,Married,Rejected
55,97294,364,279611,48,14,1,1,209900,585933,No,High School,Single,Rejected
27,38757,477,429067,36,2,0,2,119432,262073,No,Graduate,Single,Rejected
41,45412,307,235918,60,14,1,2,41434,919573,No,Graduate,Married,Rejected
38,137997,458,37737,24,27,5,3,173214,395191,No,Graduate,Single,Rejected
23,141522,310,237275,24,3,0,3,138207,794105,No,High School,Single,Rejected
62,34312,710,97146,60,27,4,0,138803,143875,No,Graduate,Married,Rejected
59,42119,454,104782,24,29,0,0,48856,930730,Yes,High School,Married,Rejected
61,31804,505,358267,12,15,5,5,282665,857757,No,Postgraduate,Married,Rejected
31,73986,414,112927,84,24,2,0,237332,488907,No,Graduate,Single,Rejected
59,66545,678,117276,72,24,4,2,150628,929380,No,Graduate,Single,Rejected
44,96519,649,357712,36,18,5,2,41693,482460,No,Graduate,Married,Rejected
39,49999,397,419610,12,17,0,4,88820,787599,No,Postgraduate,Married,Rejected
24,116093,318,442240,36,26,0,1,147560,327694,No,High School,Married,Rejected
46,59758,612,287579,48,15,2,4,13371,973129,No,Graduate,Single,Rejected
58,114324,827,24960,24,11,3,1,147850,111886,No,Graduate,Single,Approved
62,117486,744,487971,24,11,3,5,144547,167611,Yes,Postgraduate,Single,Rejected
52,89519,530,160551,72,22,5,3,202575,578669,No,Graduate,Married,Rejected
59,23768,658,60805,24,3,5,5,278703,346016,No,Postgraduate,Single,Rejected
65,21504,682,102569,60,14,3,2,145937,74183,No,Postgraduate,Single,Rejected
56,141481,811,187516,36,18,4,4,3332,817704,No,High School,Married,Approved
60,87986,343,485015,60,17,5,5,138259,803675,No,Postgraduate,Single,Rejected
57,96772,664,421805,24,25,3,2,228723,321484,No,High School,Single,Rejected
53,136721,410,366586,84,10,4,4,21004,349944,Yes,Graduate,Single,Rejected
56,28002,522,384377,48,29,3,0,181295,777428,Yes,Postgraduate,Married,Rejected
23,95427,685,276696,24,27,2,1,49375,744947,No,High School,Married,Rejected
29,58787,564,85330,84,23,4,0,16483,236008,No,High School,Married,Rejected
28,33898,570,237566,84,22,3,5,123578,934220,Yes,Graduate,Single,Rejected
53,30472,511,422847,72,14,1,2,277707,826554,No,Postgraduate,Married,Rejected
26,100800,795,222511,60,15,3,3,17023,61653,No,Graduate,Married,Rejected
61,103227,613,114687,24,10,1,3,288857,9486,Yes,Graduate,Single,Rejected
59,129023,686,50105,84,10,1,0,7574,313813,No,Graduate,Single,Approved
24,52632,546,344308,12,20,0,4,155764,776722,No,Postgraduate,Married,Rejected
33,146718,649,36092,12,12,5,0,33574,564397,No,Graduate,Married,Rejected
22,53743,371,342831,60,6,3,3,212880,594379,Yes,High School,Married,Rejected
25,128552,595,428273,12,30,0,0,96938,905839,No,Postgraduate,Single,Rejected
64,98538,512,375769,36,14,0,1,168782,508660,No,Graduate,Married,Rejected
47,132517,594,486840,84,16,4,0,205666,604632,No,Graduate,Single,Rejected
52,63386,470,306103,72,24,1,4,224771,481497,No,Graduate,Married,Rejected
41,113786,545,272909,36,23,0,2,2649,589144,No,High School,Married,Rejected
28,63388,440,423029,72,26,3,0,254665,648410,No,Graduate,Married,Rejected
58,41323,539,171879,84,12,2,1,18263,649446,No,Graduate,Married,Rejected
28,89269,610,184581,72,3,3,5,32425,10140,Yes,High School,Married,Rejected
23,61319,715,62732,60,0,1,4,289381,700893,No,High School,Married,Approved
64,87759,697,426198,12,11,4,1,31751,415188,No,Graduate,Single,Rejected
23,36868,321,226868,36,3,3,4,285697,736086,No,High School,Married,Rejected
42,119732,377,90903,12,0,3,5,271781,272137,No,Graduate,Single,Rejected
26,22080,774,70391,24,5,5,3,109264,103996,No,Graduate,Single,Rejected
22,33776,652,86552,72,23,0,3,94263,958238,Yes,Graduate,Single,Rejected
43,86231,670,54338,12,10,5,2,119245,188801,Yes,Graduate,Married,Rejected
64,75452,320,315391,12,20,3,2,3707,229258,No,Graduate,Single,Rejected
22,73812,806,425535,60,24,1,4,258954,894375,No,Postgraduate,Married,Rejected
58,83271,459,73964,84,25,2,1,212833,471846,No,High School,Married,Rejected
37,118505,660,163058,24,17,0,1,60707,290775,No,High School,Married,Approved
55,97585,596,373206,84,27,3,0,226439,766001,No,Graduate,Single,Rejected
54,78542,651,163882,36,17,2,3,192679,907909,No,Graduate,Married,Rejected
43,144147,479,166799,72,19,3,0,158819,851355,No,Postgraduate,Single,Rejected
50,35628,771,486890,72,5,4,2,45488,636299,Yes,High School,Married,Rejected
28,145850,694,106692,72,13,1,3,242407,965980,No,Graduate,Single,Approved
42,148445,512,201451,36,5,4,1,280053,438497,No,High School,Married,Rejected
64,28265,829,363426,72,21,0,5,121365,557359,Yes,Postgraduate,Married,Rejected
56,44671,694,485205,12,14,2,3,181650,577847,Yes,Graduate,Married,Rejected
25,148872,326,417534,48,21,4,5,55601,393425,No,High School,Single,Rejected
33,32460,748,67422,48,28,3,2,271252,357024,No,High School,Married,Rejected
49,148898,737,418971,72,0,4,3,261404,732041,No,Graduate,Married,Rejected
51,23477,584,345792,36,16,5,2,172126,983688,No,Graduate,Single,Rejected
36,22202,488,53069,12,28,2,1,123105,757349,No,Graduate,Single,Rejected
62,133846,498,53599,12,11,3,4,76445,318437,No,Graduate,Married,Rejected
50,109410,401,470686,84,29,0,3,85135,7610,No,Graduate,Married,Rejected
36,132928,778,223979,84,30,4,4,136943,594069,No,High School,Married,Approved
32,126753,523,274003,24,2,1,2,197124,197808,No,Graduate,Married,Rejected
37,31850,816,189193,60,1,2,3,61016,381815,No,Graduate,Single,Rejected
36,124621,826,33570,48,22,1,1,128441,23756,Yes,Graduate,Single,Approved
32,40809,740,479783,72,5,5,3,261410,496847,No,Graduate,Married,Rejected
28,90886,816,34148,12,4,3,1,42422,620771,No,High School,Married,Approved
40,22806,529,475193,36,7,1,2,155120,147516,No,Graduate,Married,Rejected
23,27163,413,138823,48,1,2,5,236873,377328,No,High School,Single,Rejected
36,114368,815,242549,60,26,2,5,12658,923678,No,Graduate,Married,Approved
50,20185,483,219567,12,30,1,4,284349,33392,No,High School,Married,Rejected
65,126374,333,142575,48,11,1,0,193889,507840,No,Graduate,Married,Rejected
43,44718,595,252019,12,6,3,0,75120,203782,No,Graduate,Married,Rejected
48,97081,752,219048,72,13,1,5,293637,683797,Yes,Graduate,Married,Rejected
60,76202,804,420260,60,9,2,3,71030,963805,No,Graduate,Single,Rejected
25,45215,705,488872,24,19,5,5,281637,391798,No,High School,Married,Rejected
40,48325,426,76779,48,13,5,4,265493,29942,No,High School,Married,Rejected
60,38458,441,110104,60,10,1,1,122581,188436,No,High School,Married,Rejected
64,142342,427,185553,24,27,0,0,160925,974510,No,Postgraduate,Married,Rejected
21,36006,649,182216,24,30,2,4,126030,761503,Yes,Postgraduate,Married,Rejected
50,114080,823,449537,60,18,2,4,257872,51502,No,High School,Married,Rejected
41,52969,762,473522,36,0,3,2,197486,547318,No,Postgraduate,Married,Rejected
40,96820,543,106310,84,25,3,0,250692,326465,No,Graduate,Single,Rejected
26,124014,485,363260,60,1,4,2,48800,873978,No,Postgraduate,Married,Rejected
42,149693,532,289368,12,30,3,4,97523,10076,No,High School,Married,Rejected
38,137853,813,339825,36,22,0,0,115088,698176,No,Postgraduate,Married,Rejected
28,47655,300,384355,24,2,3,1,16684,232041,No,Graduate,Married,Rejected
59,114679,538,130669,84,26,4,3,107044,297948,Yes,Postgraduate,Married,Rejected
52,101234,354,58374,84,4,2,4,190951,515260,No,High School,Married,Rejected
53,149282,794,24299,84,10,3,5,129003,292948,No,Postgraduate,Married,Approved
36,120406,717,411713,48,18,4,1,276996,598160,No,Graduate,Single,Rejected
32,29102,747,96884,24,6,3,3,174558,981142,Yes,Graduate,Married,Rejected
58,87107,637,64482,48,27,3,0,71974,520241,No,High School,Married,Approved
54,123429,576,59826,84,15,2,1,255436,674511,No,Graduate,Married,Approved
34,146328,309,252716,48,19,4,1,56940,881983,Yes,Graduate,Single,Rejected
56,125001,640,355253,60,7,3,3,132511,69355,No,Graduate,Married,Rejected
53,41553,403,187296,60,25,2,1,155263,586799,No,Graduate,Married,Rejected
43,104079,644,133865,24,23,5,0,172855,154098,Yes,High School,Married,Rejected
65,149169,669,135754,60,3,4,0,153637,999436,No,Postgraduate,Married,Rejected
22,114437,497,392420,24,11,1,4,15415,120976,No,Graduate,Single,Rejected
61,99570,313,84458,84,17,4,3,130564,590783,No,High School,Married,Rejected
41,112656,637,69490,84,22,3,2,95568,815689,No,Postgraduate,Married,Approved
22,86865,841,81543,60,13,3,0,126196,260018,No,High School,Married,Approved
47,138301,756,5872,60,16,4,2,159856,526163,Yes,Graduate,Married,Approved
29,61420,825,86330,84,28,2,1,32715,288094,No,High School,Single,Approved
21,45382,735,159953,48,11,4,3,272321,231448,Yes,High School,Married,Rejected
31,89235,665,27388,36,8,3,5,25920,967443,No,Graduate,Single,Rejected
23,58795,700,322733,60,15,3,3,11865,158582,No,Graduate,Married,Rejected
43,71425,781,443517,72,20,0,0,29118,179429,No,Graduate,Married,Rejected
46,77402,409,127021,72,9,2,0,261261,590394,No,Graduate,Married,Rejected
24,82539,705,485053,72,19,0,3,125491,645856,No,Graduate,Married,Rejected
38,96203,608,303944,60,29,5,5,55143,548548,No,High School,Married,Rejected
26,123127,459,85223,24,19,3,2,106938,629780,No,Graduate,Married,Rejected
55,127651,354,237636,48,10,2,3,227251,543945,No,Graduate,Married,Rejected
42,43459,555,339846,72,27,2,5,76965,853374,No,Postgraduate,Single,Rejected
63,69649,833,13885,84,27,2,4,233633,513107,Yes,High School,Single,Approved
35,92495,721,94362,48,8,5,5,211123,809201,No,Graduate,Married,Approved
42,115117,563,18026,36,0,4,3,182088,3544,No,Graduate,Married,Rejected
57,66384,532,58189,36,15,4,5,155570,265504,Yes,High School,Single,Rejected
62,91746,532,28585,36,3,3,2,51217,136141,No,Graduate,Married,Rejected
32,98053,816,18006,84,21,5,1,64707,581566,No,Graduate,Single,Approved
62,76278,344,295676,60,28,2,2,174808,125533,Yes,Graduate,Single,Rejected
58,98156,735,469361,24,7,2,3,146625,138039,No,High School,Married,Rejected
38,56744,634,11642,72,1,2,3,272418,372613,No,Graduate,Single,Rejected
65,108340,703,149628,12,13,4,1,259198,119819,No,Graduate,Married,Rejected
55,50568,463,309381,72,23,3,5,192531,763064,No,Graduate,Single,Rejected
50,37991,555,42996,72,8,2,5,166992,82899,No,High School,Married,Rejected
44,28912,365,232650,24,30,2,5,235213,992972,No,Graduate,Married,Rejected
62,52527,387,407355,84,23,1,4,64332,657720,No,Graduate,Single,Rejected
50,116399,539,124268,48,13,5,0,118674,323938,No,Graduate,Married,Rejected
34,70426,610,205981,36,13,0,2,281923,179547,No,Graduate,Single,Rejected
26,130363,557,215668,12,20,5,2,20541,291779,No,High School,Married,Rejected
23,118994,813,182180,48,29,5,3,97014,256984,No,High School,Single,Rejected
36,40407,733,333077,36,11,5,2,31269,350705,Yes,Graduate,Married,Rejected
27,141935,428,119909,72,10,4,5,4958,450634,No,Graduate,Married,Rejected
34,32344,625,253125,12,0,1,5,157863,743089,Yes,Graduate,Single,Rejected
29,121741,316,314518,24,21,3,1,136881,844954,No,High School,Single,Rejected
35,22355,641,432761,72,0,0,4,147167,869948,No,Graduate,Married,Rejected
41,116429,548,467812,48,10,3,5,201131,364262,No,High School,Married,Rejected
55,74733,476,36117,60,19,4,3,36199,967428,No,High School,Married,Rejected
22,86285,656,320250,72,24,5,0,217640,464,No,Graduate,Married,Rejected
47,104971,794,459082,12,14,3,1,232506,864099,No,High School,Single,Rejected
22,65733,334,217885,12,27,2,0,95235,81762,Yes,Postgraduate,Married,Rejected
55,76915,706,289256,72,20,2,2,24542,850652,No,Graduate,Married,Rejected
38,72716,309,476382,72,22,5,2,190844,534480,No,Graduate,Single,Rejected
34,131151,830,36100,24,8,3,4,189447,395092,No,High School,Married,Approved
40,58526,834,135423,24,19,3,0,149032,657539,No,High School,Married,Rejected
38,38088,394,22158,48,20,3,1,175969,668242,No,Graduate,Married,Rejected
30,85377,749,103643,60,21,3,0,149545,502769,No,Graduate,Married,Rejected
45,64405,519,217998,36,16,2,0,195363,393572,Yes,Graduate,Single,Rejected
22,58842,395,71832,72,9,5,5,268422,776716,No,High School,Single,Rejected
45,81788,680,332967,12,30,1,0,169593,16898,No,Postgraduate,Single,Rejected
53,131682,506,120580,84,14,1,0,268015,990022,Yes,Postgraduate,Married,Rejected
56,71529,545,123967,12,11,3,2,98033,323154,No,Graduate,Married,Rejected
51,109939,809,56005,48,4,3,5,217763,848868,Yes,Graduate,Married,Approved
34,132833,382,169409,36,13,0,4,120350,760078,No,High School,Married,Rejected
21,123578,616,26102,84,9,3,1,297800,467184,No,Graduate,Married,Approved
36,72383,404,68673,36,19,1,3,7735,351742,No,Graduate,Married,Rejected
23,132311,669,292362,72,0,4,5,73430,59871,No,High School,Single,Rejected
55,59177,479,319968,36,29,4,2,204502,894866,No,High School,Married,Rejected
61,136903,382,445799,48,15,3,2,189823,396958,No,Postgraduate,Single,Rejected
26,59056,831,388823,84,3,5,5,255980,989966,No,Graduate,Single,Rejected
45,108249,800,437757,12,4,3,1,18624,180330,No,High School,Single,Rejected
33,86421,647,131208,24,8,4,5,178091,321455,No,Graduate,Married,Rejected
54,53632,571,286079,12,16,0,1,220299,390352,No,High School,Married,Rejected
28,59685,630,87029,24,5,1,4,67496,959669,Yes,Postgraduate,Married,Rejected
41,97222,688,238026,24,23,5,3,179412,246070,No,High School,Single,Rejected
54,88590,436,466971,48,24,3,2,152063,84537,No,Postgraduate,Married,Rejected
24,28977,660,464483,72,26,3,5,30573,54352,No,Graduate,Married,Rejected
45,110568,581,50269,36,4,0,4,159191,362069,No,Graduate,Single,Rejected
35,68967,501,474987,72,17,1,2,31794,895159,No,Graduate,Married,Rejected
24,94072,830,92613,48,16,3,5,201572,18798,No,High School,Married,Approved
65,35070,315,406975,72,20,5,4,107931,218847,No,Graduate,Married,Rejected
32,102473,413,245616,72,10,1,5,58997,307646,No,High School,Single,Rejected
52,41500,367,108860,24,2,1,4,74767,371647,No,Graduate,Single,Rejected
52,125987,329,421704,12,5,5,3,264785,488610,No,Postgraduate,Single,Rejected
48,135475,818,196287,84,8,4,0,162869,999019,No,High School,Single,Approved
33,30011,321,14549,24,12,3,2,203989,154732,Yes,Graduate,Married,Rejected
51,68039,730,231732,84,26,4,4,249698,365854,No,Graduate,Single,Rejected
34,28896,329,165590,48,0,1,4,190995,900338,No,Graduate,Single,Rejected
40,115335,709,471015,84,29,3,1,269140,947730,No,Graduate,Married,Rejected
38,100118,348,249369,72,14,2,0,206998,344415,No,Graduate,Married,Rejected
49,139595,624,202679,72,19,2,1,194662,554355,Yes,High School,Married,Rejected
26,59958,787,324269,84,3,0,0,247239,647763,No,High School,Married,Rejected
52,61912,597,471197,84,27,5,3,27198,808889,Yes,Postgraduate,Single,Rejected
49,20814,480,370519,12,22,4,3,284675,630344,No,High School,Single,Rejected
63,95276,421,192594,36,1,5,1,85420,350644,Yes,Graduate,Married,Rejected
22,44719,423,171086,48,15,1,1,278139,127171,No,High School,Single,Rejected
43,121081,752,441731,72,23,2,0,183800,191598,No,High School,Married,Rejected
39,40150,565,376016,84,28,3,0,144039,277896,No,Graduate,Married,Rejected
51,90494,327,252680,72,5,5,1,282732,296841,Yes,Graduate,Married,Rejected
25,23825,558,248625,60,19,5,1,15011,656990,No,Postgraduate,Married,Rejected
39,70368,376,355076,72,14,1,4,245627,443491,No,Graduate,Married,Rejected
54,34800,731,46083,24,18,5,2,178860,748128,No,Postgraduate,Single,Rejected
30,95535,334,191567,36,25,0,1,10183,543254,Yes,Graduate,Married,Rejected
45,106390,735,70610,36,27,1,0,168896,945769,No,Graduate,Married,Approved
22,131268,413,400204,72,6,0,4,108057,209740,Yes,High School,Married,Rejected
31,112851,361,373796,12,24,1,5,177585,899295,No,Graduate,Married,Rejected
51,125076,351,198669,48,10,3,3,110790,878104,No,Graduate,Single,Rejected
35,95017,415,429247,72,17,4,3,58270,452823,Yes,Graduate,Married,Rejected
29,68505,346,372735,72,7,2,3,285464,377016,Yes,Postgraduate,Single,Rejected
43,142405,737,73619,24,1,1,4,274987,129443,No,Postgraduate,Single,Approved
39,77899,711,352882,72,26,1,1,245477,102937,No,Graduate,Single,Rejected
29,102782,400,316078,60,11,3,2,257926,88858,No,High School,Single,Rejected
55,42601,578,262990,24,21,3,3,32096,494243,No,Postgraduate,Married,Rejected
41,30677,406,483827,72,29,2,1,113319,676383,No,Postgraduate,Married,Rejected
29,49552,334,49939,72,7,1,3,65449,16794,No,Postgraduate,Married,Rejected
48,149249,658,412072,84,0,3,3,280965,57101,Yes,Graduate,Single,Rejected
27,107858,301,184967,48,6,4,3,23813,360109,No,High School,Single,Rejected
36,87891,791,455642,36,8,0,0,238295,311216,No,Graduate,Married,Rejected
36,94693,571,443964,60,21,0,5,25080,410062,Yes,Postgraduate,Single,Rejected
53,120699,443,182379,12,21,3,4,229559,148861,No,High School,Married,Rejected
24,143355,734,302977,48,8,2,4,202183,981349,Yes,Graduate,Married,Rejected
24,111450,750,12954,24,30,3,0,45418,763809,No,High School,Single,Approved
59,53292,527,171073,48,1,3,3,56707,870874,Yes,Graduate,Single,Rejected
60,148424,844,477916,12,3,0,4,177064,877656,No,High School,Single,Rejected
37,145451,513,53338,24,13,3,4,135488,722205,No,High School,Single,Rejected
57,86097,547,440960,60,13,2,4,215942,27775,No,Postgraduate,Married,Rejected
59,93703,707,250631,84,26,0,3,254614,475808,No,High School,Single,Rejected
49,36184,352,207236,24,7,5,3,126452,404086,No,High School,Single,Rejected
56,110033,613,304080,24,20,0,4,94690,204458,No,High School,Married,Rejected
58,109336,673,90932,84,8,0,2,149698,661497,Yes,Postgraduate,Married,Approved
59,81046,336,61338,12,2,4,1,60414,254343,No,Graduate,Married,Rejected
57,122968,823,11308,24,21,1,1,187115,911684,No,High School,Married,Approved
55,86741,383,171154,48,21,3,3,71072,339981,No,Graduate,Married,Rejected
27,81377,393,211263,36,18,4,2,179130,602336,No,High School,Single,Rejected
47,32039,714,157703,12,5,3,5,281337,804668,Yes,Graduate,Married,Rejected
48,65161,641,451360,12,0,2,2,141150,370032,No,Graduate,Married,Rejected
42,55006,849,401130,12,20,5,2,225172,885780,Yes,Graduate,Married,Rejected
34,37544,720,115020,48,17,1,0,18994,426720,No,Postgraduate,Single,Rejected
27,32987,647,47301,48,7,3,0,10124,178716,Yes,Graduate,Single,Rejected
57,25239,427,90854,48,6,3,4,111795,621128,No,High School,Married,Rejected
42,64785,451,73237,72,6,1,2,276727,848233,No,Graduate,Single,Rejected
25,43358,821,467796,48,9,2,1,191219,453722,No,Postgraduate,Married,Rejected
22,134759,337,447401,84,3,2,5,125218,13277,No,Postgraduate,Married,Rejected
47,102674,726,367593,24,29,3,0,78294,330888,No,Graduate,Married,Rejected
41,76450,404,460889,12,17,1,3,224296,961631,No,High School,Married,Rejected
58,108520,464,322755,72,18,0,3,99346,403816,No,Graduate,Married,Rejected
35,48428,843,78023,12,30,0,2,257038,925142,No,Graduate,Single,Approved
41,29096,511,214605,60,30,5,5,262261,394825,Yes,Graduate,Married,Rejected
30,67582,825,250170,36,9,4,5,187145,462588,Yes,Graduate,Married,Rejected
43,44536,431,129159,24,19,5,4,196819,463293,No,Graduate,Married,Rejected
59,77395,451,321969,36,18,1,2,106280,487224,No,Postgraduate,Married,Rejected
25,131595,395,316700,24,2,2,3,290315,425942,No,Graduate,Married,Rejected
21,88157,802,173551,24,28,4,3,33929,221211,Yes,High School,Single,Rejected
33,121494,821,39692,24,29,2,4,185763,929820,Yes,Graduate,Married,Approved
41,89484,673,129737,12,16,4,0,61568,762090,No,High School,Married,Rejected
46,21287,315,94541,36,30,2,4,245707,431082,Yes,High School,Married,Rejected
65,74510,317,382713,36,0,3,1,150099,993200,No,Graduate,Single,Rejected
41,43902,708,329796,48,23,2,5,258030,116441,No,Graduate,Single,Rejected
38,76188,306,76559,36,7,1,3,147279,65140,No,High School,Married,Rejected
57,132894,544,237278,48,16,4,1,187520,462386,No,Graduate,Married,Rejected
65,41164,428,129819,60,3,0,3,139660,80058,No,Graduate,Married,Rejected
52,101204,754,348427,48,1,3,3,158068,326496,No,High School,Single,Rejected
56,21772,371,380950,72,16,5,2,52155,345896,No,Postgraduate,Single,Rejected
37,73054,459,88165,24,1,2,3,227711,194066,Yes,Graduate,Married,Rejected
55,74878,386,79167,12,0,0,5,140202,959254,No,High School,Married,Rejected
31,146800,700,427419,72,4,5,3,108169,401219,Yes,Graduate,Single,Rejected
41,52238,761,182431,24,30,5,3,196002,642782,No,Graduate,Married,Rejected
46,124504,828,442000,84,25,5,3,180836,755227,No,High School,Single,Rejected
24,78293,388,452735,60,30,4,2,183770,841,No,High School,Single,Rejected
54,101298,305,484636,72,30,3,2,234221,21110,No,Graduate,Single,Rejected
38,121442,383,265069,12,27,5,5,12703,77639,No,High School,Married,Rejected
60,27213,549,194694,60,29,3,5,162292,405983,No,Graduate,Married,Rejected
55,34941,715,234672,72,5,3,1,122713,824865,No,Graduate,Single,Rejected
61,115881,371,438676,24,11,5,1,156815,304017,No,Graduate,Married,Rejected
49,120720,411,89868,12,23,0,5,125044,879136,No,Graduate,Married,Rejected
49,35964,471,78663,60,9,5,1,60700,890166,No,High School,Married,Rejected
58,46855,572,286133,72,7,4,4,250527,202065,No,Postgraduate,Single,Rejected
62,78769,829,355541,48,13,2,2,56595,381213,No,Graduate,Married,Rejected
41,141739,618,225913,36,3,4,5,265923,78850,No,Graduate,Single,Rejected
62,103504,381,88014,24,18,3,2,292267,488597,No,Graduate,Married,Rejected
33,21046,374,378701,48,27,4,0,130468,79345,No,Graduate,Married,Rejected
61,34909,728,428994,60,4,2,0,289944,601338,No,Graduate,Married,Rejected
37,99114,759,493139,60,23,5,0,213516,816015,Yes,Graduate,Married,Rejected
29,43368,645,403317,72,20,5,5,38905,719496,No,High School,Married,Rejected
61,136853,548,399290,72,25,5,1,23967,288224,No,Graduate,Married,Rejected
21,114135,686,21399,12,6,4,3,56136,30543,No,High School,Single,Approved
22,91255,662,301439,48,19,5,4,15327,932059,No,High School,Single,Rejected
49,101496,595,127930,60,1,5,2,149202,541734,No,High School,Married,Rejected
53,109142,367,103015,12,24,5,1,68780,640125,No,Graduate,Single,Rejected
30,135864,737,335879,36,10,3,4,37363,526802,Yes,High School,Married,Rejected
60,133902,831,344113,36,9,3,2,255991,977149,No,Graduate,Married,Rejected
41,35624,432,330386,12,17,2,5,39841,496867,No,Graduate,Married,Rejected
48,124715,594,227787,48,1,1,4,204802,370750,Yes,Graduate,Married,Rejected
31,126378,595,307712,12,13,4,4,287062,705380,No,High School,Married,Rejected
54,30352,332,376676,72,23,3,2,109279,616572,No,High School,Married,Rejected
28,116421,673,84027,12,9,5,4,273602,645242,No,Graduate,Married,Approved
42,100539,331,474729,48,5,4,0,294441,478067,No,Graduate,Married,Rejected
28,29223,604,105296,36,20,2,0,80896,207520,No,Graduate,Married,Rejected
35,116969,407,384785,60,2,0,5,26376,919016,No,High School,Single,Rejected
37,137976,395,207430,36,22,0,4,129802,652922,No,Postgraduate,Single,Rejected
43,98254,365,55083,72,15,5,1,222399,601486,No,Graduate,Married,Rejected
44,86851,820,158900,48,7,5,3,196391,332056,Yes,Postgraduate,Married,Rejected
65,70044,529,241794,84,8,3,5,2272,853022,No,Graduate,Married,Rejected
39,107089,657,279949,24,10,2,2,297364,276283,No,High School,Married,Rejected
25,110218,701,240781,48,15,2,1,279336,95403,No,High School,Married,Rejected
52,105000,398,351202,36,1,4,5,94810,319537,No,High School,Married,Rejected
64,127240,570,402505,36,23,3,3,12761,488425,No,Postgraduate,Single,Rejected
21,51419,661,319696,84,30,0,2,46748,738558,No,Graduate,Single,Rejected
